100%|██████████| 6069/6069 [15:39<00:00,  6.46it/s]
+---------------+-----------------+-------------------+------------------+------+-------+----------+-----------+-------+----------------+------+------+-----+------------------+
|      Name     |        sp       |         ra        |       dec        | teff |  vmag | distance |  diameter |  rot  | Hrs of X < 1.5 | N<15 | N<12 | N<9 |      Start       |
|   HD 169666   |       F2V       | 274.7843408015062 | 71.5178553786035 | 6611 | 6.678 | 52.9914  |     --    |   --  |      9.6       |  8   |  1   |  0  | 2022-06-20 20:28 |
|   HD 175938   |       A8V       | 281.4090368733235 | 79.9426557960009 | 7191 |  6.4  | 88.5591  |     --    |   --  |      10.3      |  5   |  0   |  0  | 2022-06-20 20:28 |
|   HD 176409   |       F2V       | 284.2300653605655 | 56.7494097024458 | 6849 |  7.13 | 151.439  |     --    |   --  |      9.8       |  3   |  1   |  0  | 2022-06-20 20:28 |
|   HD 178089   |       F2V       | 284.4882521565403 | 77.0508231958954 | 6760 |  6.57 | 58.3713  |     --    |  22.0 |      10.4      |  5   |  0   |  0  | 2022-06-20 20:28 |
|   HD 184102   |       A3V       |  290.418027664871 | 79.6028327822217 | 8710 |  6.06 | 103.3122 |     --    | 180.0 |      10.8      |  5   |  1   |  0  | 2022-06-20 20:28 |
|    HR  5715   |       A4V       | 230.0214644294249 | 51.9585141564392 | 8590 |  5.64 | 65.4305  |     --    | 159.0 |      6.0       |  4   |  0   |  0  | 2022-06-20 20:28 |
|  V* V451 Her  |   A0VpSiSrCrEu  | 255.3877148739606 | 14.9497189799423 | 8842 |  6.31 | 167.1179 | 4910000.0 |  30.0 |      6.0       |  2   |  1   |  0  | 2022-06-20 20:28 |
|  V* V533 Lyr  |       F0V       | 279.1897869674657 | 43.2218153399013 | 7516 | 6.211 | 127.1488 |     --    | 109.0 |      8.9       |  2   |  1   |  0  | 2022-06-20 20:28 |
|   *  51 Dra   |       A0Vn      |  286.229859337711 | 53.3966535807335 | 9954 |  5.38 | 112.4632 |     --    | 233.0 |      9.7       |  5   |  0   |  0  | 2022-06-20 20:34 |
|   HD   5788   |       A2Vn      |  15.0140948662626 | 44.7111254283212 | 9977 | 6.763 | 152.381  |     --    | 270.0 |      8.9       |  1   |  1   |  1  | 2022-06-20 20:34 |
|   HD   5789   |    B9.5Vnn_lB   |  15.0148236057442 | 44.7132471702497 | 9840 |  6.05 | 150.5299 |     --    | 249.0 |      8.9       |  1   |  1   |  1  | 2022-06-20 20:34 |
|  * 100 Her A  |       A3V       | 271.9565300370496 | 26.1012604225726 | 8204 | 5.819 | 62.6672  |     --    | 186.0 |      7.5       |  1   |  1   |  1  | 2022-06-20 20:40 |
|  * 100 Her B  |       A3V       | 271.9562843175179 | 26.0973223188547 | 8260 |  5.79 |  55.118  |     --    | 180.0 |      7.5       |  2   |  2   |  1  | 2022-06-20 20:40 |
| * eps01 Lyr A |       A3V       | 281.0847919427876 | 39.6700730127753 | 7943 | 4.991 | 55.6591  |     --    | 165.0 |      8.7       |  1   |  1   |  1  | 2022-06-20 20:40 |
| * eps01 Lyr B |       F0V       | 281.0846345285713 | 39.6708014560669 | 7047 | 6.062 | 49.0004  |     --    | 159.0 |      8.7       |  1   |  1   |  1  | 2022-06-20 20:40 |
| * eps02 Lyr A |       A6Vn      | 281.0949139163329 | 39.6127105822831 | 7816 |  5.23 | 49.5184  |     --    | 212.0 |      8.7       |  5   |  2   |  1  | 2022-06-20 20:40 |
| * eps02 Lyr B |       A7Vn      | 281.0957658184246 | 39.6127921400375 | 7852 |  5.35 | 49.8497  |     --    | 233.0 |      8.7       |  5   |  2   |  1  | 2022-06-20 20:40 |
|   HD 159503   |       A8Vn      | 263.6134795215694 | 16.5043725821337 | 7568 |  6.6  | 183.9114 |     --    | 222.0 |      6.4       |  3   |  0   |  0  | 2022-06-20 20:40 |
|  * zet01 Lyr  |    kA5hF0VmF3   |   281.1931556396  |  37.6051158481   | 8400 |  4.36 | 47.3976  |     --    |  47.0 |      8.6       |  4   |  1   |  1  | 2022-06-20 20:46 |
|  * zet02 Lyr  |      F1Vnn      | 281.2008343322522 | 37.5945990633783 | 7211 | 5.585 | 48.5152  |     --    | 212.0 |      8.6       |  2   |  1   |  1  | 2022-06-20 20:46 |
|   HD 160910   |       F4Vw      | 265.4942987197692 | 15.9524327074878 | 6745 |  5.54 | 35.0366  |     --    |  31.7 |      6.4       |  3   |  1   |  0  | 2022-06-20 20:46 |
|   HD 177152   |       B9V       | 285.3407547389018 | 44.3865183445623 | 9980 |  7.57 | 182.1328 |     --    | 190.0 |      9.2       |  2   |  0   |  0  | 2022-06-20 20:46 |
|   HD 178874   |       F2V       | 286.9451952712404 | 49.485351773863  | 6530 |  7.37 | 144.3647 |     --    |  33.2 |      9.4       |  2   |  0   |  0  | 2022-06-20 20:46 |
|   HD 181960   |       A1V       | 289.9018059582691 | 54.3759910525199 | 9311 | 6.231 | 147.447  |     --    | 112.0 |      9.8       |  3   |  0   |  0  | 2022-06-20 20:46 |
